title,stack,url
FS Python + React (80/20),"Python,SQL,AWS,Docker,Kubernetes,React,NoSQL",https://djinni.co/jobs/605085-fs-python-react-80-20-/
Senior Python developer,"Python,MySQL,Mongo,Redis,PostgreSQL,Flask,FastApi,SQL,Git,Celery,AWS,Docker,SQLAlchemy",https://djinni.co/jobs/604669-senior-python-developer/
Python Engineer,"Python,Django,DRF,Mongo,SQL,Celery,AWS,Docker,SQLAlchemy,Vue",https://djinni.co/jobs/604822-python-engineer/
Python (Django) Developer,"Python,Django",https://djinni.co/jobs/574756-python-django-developer/
Full Stack Engineer for Eat Club,"Python,Django,PostgreSQL,SQL,AWS,Angular,React",https://djinni.co/jobs/604874-full-stack-engineer-for-eat-club/
Senior Python Developer,"Python,FastApi,Git,AWS,Jira",https://djinni.co/jobs/519556-senior-python-developer/
Senior Full Stack Developer - US Web Dev Agency,"Python,Django,MySQL,Mongo,PostgreSQL,SQL,Git,AWS,JavaScript,HTML,CSS,React",https://djinni.co/jobs/604686-senior-full-stack-developer-us-web-dev-agency/
Middle Data Engineer,"Python,SQL,OOP",https://djinni.co/jobs/604789-middle-data-engineer/
Python Engineer,"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/605046-python-engineer/
ML Engineer,"Python,AWS",https://djinni.co/jobs/540639-ml-engineer/
Back-End Python Engineer,"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/605048-back-end-python-engineer/
Senior Python Backend Engineer (non-web development),"Python,AWS,Docker,Kubernetes",https://djinni.co/jobs/588250-senior-python-backend-engineer-non-web-develo/
Middle+ Python Developer,"Python,Django,PostgreSQL,SQL,Celery,AWS,Docker,Django Rest Framework",https://djinni.co/jobs/549926-middle-python-developer/
"Senior FullStack Developer (Python + JavaScript), Financial Software Tools","Python,PostgreSQL,SQL,JavaScript,HTML,CSS,Angular,React",https://djinni.co/jobs/604616-senior-fullstack-developer-python-javascript-/
Full Stack React (20%) + Python (80%),"Python,SQL,AWS,Docker,Kubernetes,React,NoSQL",https://djinni.co/jobs/604601-full-stack-react-20-python-80-/
Python developer,"Python,Django,MySQL,PostgreSQL,Flask,SQL,OOP",https://djinni.co/jobs/585978-python-developer/
Senior Full-Stack Engineer (Vue or React + Python),"Python,Django,Flask,SQL,Git,Celery,Docker,React,Vue,NoSQL",https://djinni.co/jobs/596795-senior-full-stack-engineer-vue-or-react-pytho/
Senior Full-Stack Developer Developer (Python + VueJs),"Python,Django,SQL,Git,Celery,Docker,React,Vue,NoSQL",https://djinni.co/jobs/234802-senior-full-stack-developer-developer-python-/
Tech Lead (Python),"Python,MySQL,Mongo,PostgreSQL,SQL,Docker,Kubernetes",https://djinni.co/jobs/589032-tech-lead-python-/
Junior Python Development,"Python,Django,MySQL,PostgreSQL,Flask,SQL,Git",https://djinni.co/jobs/604667-junior-python-development/
Middle Python Developer,"Python,MySQL,Mongo,Redis,PostgreSQL,Flask,FastApi,SQL,Celery,AWS,Docker,SQLAlchemy",https://djinni.co/jobs/604668-middle-python-developer/
Python Developer for Visual Intelligence Company,"Python,Mongo,SQL,AWS",https://djinni.co/jobs/604188-python-developer-for-visual-intelligence-comp/
Python ai/ml Developer,Python,https://djinni.co/jobs/584753-python-ai-ml-developer/
Python Fullstack Developer,"Python,Flask,FastApi,SQL,Git,Docker,JavaScript,React,Vue",https://djinni.co/jobs/604158-python-fullstack-developer/
Python Voice Application Developer Senior,"Python,Git,Docker,Kubernetes,Linux",https://djinni.co/jobs/596448-python-voice-application-developer-senior/
Senior Python Developer,"Python,Docker",https://djinni.co/jobs/604196-senior-python-developer/
Python developer,"Python,Django,DRF,Flask,FastApi,Git,AWS,Docker,React",https://djinni.co/jobs/603946-python-developer/
Python developer,"Python,Django,PostgreSQL,SQL,Celery,AWS,Docker,Django Rest Framework",https://djinni.co/jobs/603985-python-developer/
Middle Python Developer,"Python,Django,PostgreSQL,Flask,FastApi,SQL,AWS,Docker,NoSQL",https://djinni.co/jobs/604014-middle-python-developer/
Full Stack Python / Django developer,"Python,Django,JavaScript,HTML,CSS,Angular,React,Vue",https://djinni.co/jobs/603857-full-stack-python-django-developer/
Back End / DevOps разработчик с опытом Python / Django и AWS,"Python,Django,AWS,Linux",https://djinni.co/jobs/603852-back-end-devops-razrabotchik-s-opytom-python-/
